horse_name,horse_url,country_of_origin,age,color,sex,import_type,season_stakes,total_stakes,no_123_starts,no_starts_in_10,stable_loc,trainer,owner,current_rating,sos_rating,sire,dam,dam_sire,retired
THUNDER STOMP(V279),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V279,AUS,-1,Bay,Gelding,PP,,"$6,965,996 ",5-5-9-79,-1,,,Pui Kwan Kay & Raymond Chu Yuet Chung,38,-1,Fastnet Rock,Queen Of Troy,Storm Cat,TRUE
JADE THEATRE(A040),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A040,AUS,8,Bay,Gelding,PP,"$327,600 ","$4,635,345 ",4-4-3-53,1,Hong Kong(29/07/2016),P F Yiu,"Charles Tung Chung Ho, Ronald Tung Pit Shing & Tung Pit Ching",44,43,Pluck,Miguelita,Danehill,FALSE
NABOO STAR(B366),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B366,AUS,-1,Bay,Gelding,ISG,,"$3,647,430 ",3-3-3-23,-1,,,Cheung Yeuk Lee,69,-1,Casino Prince,Private,Encosta de Lago,TRUE
SACRED IBIS(A127),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A127,NZ,8,Bay,Gelding,PPG,"$180,550 ","$4,737,925 ",4-3-5-36,2,Hong Kong(05/12/2019),A T Millard,Ibis Syndicate,60,62,O'Reilly,Flutter,Savabeel,FALSE
BLASTOISE(C450),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C450,AUS,6,Bay,Gelding,PPG,"$525,950 ","$4,881,965 ",3-6-5-29,2,Hong Kong(06/08/2021),D E Ferraris,Liu Shun Hong,67,66,Ambidexter,Lifting,Zabeel,FALSE
SMILING CITY(D113),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D113,AUS,6,Bay,Gelding,PP,"$345,400 ","$2,721,815 ",2-2-2-27,1,Hong Kong(18/08/2021),D J Whyte,Gary Ling Kay Wai,59,61,So You Think,Laylia,Redoute's Choice,FALSE
PRINCE OF FROG(D324),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D324,AUS,-1,Bay,Gelding,PP,,"$142,500 ",0-0-0-10,-1,,,"Wong Yat Cheung, Eliza Wong & Amy Wong Hoi Fung",63,-1,Brazen Beau,Clearly Foxy,Volponi,TRUE
CHARITY WINGS(B003),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B003,AUS,-1,Bay,Gelding,PPG,,"$4,638,760 ",5-5-4-46,-1,,,"Mason Wu Shang Tun, Chan Man Hon & Matthew Chan Man Fung",58,-1,Bel Esprit,Viva Dubai,Dubai Destination,TRUE
MAGNETISM(V114),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V114,IRE,-1,Bay,Gelding,PP,,"$6,053,330 ",6-2-6-73,-1,,,Wong Chung Hin & Arnold Wong Chi Chiu,32,-1,Monsieur Bond,Midnight Mystique,Noverre,TRUE
MONICA(B271),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B271,AUS,-1,Grey,Gelding,PP,,"$4,010,700 ",4-4-1-30,-1,,,Apple of My Eyes Syndicate,76,-1,Murtajill,Senorita de Lago,Encosta de Lago,TRUE
JOLLY HONOUR(C080),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C080,NZ,7,Chestnut,Gelding,PP,"$218,400 ","$3,103,850 ",2-2-4-36,2,Hong Kong(15/10/2021),Y S Tsui,Mr & Mrs Philip Ng Yuk Wing and Michael Ng Mun Kit,53,58,Reliable Man,Vexed,Ferocity,FALSE
FLYING SWORD(C463),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C463,AUS,6,Brown,Gelding,PP,"$821,600 ","$3,165,350 ",2-4-2-29,1,Conghua(02/12/2021),K H Ting,"Robert Lui Chi Wang, Simon Tso, Louis Chan Wai Mau & Henry Leung Kam Tong",54,48,Foxwedge,Whiffle,Red Ransom,FALSE
ARES(D125),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D125,NZ,5,Bay,Gelding,PPG,$0 ,"$1,758,295 ",2-2-0-15,1,Conghua(23/11/2021),F C Lor,Wong Kin Ting,55,58,Zacinto,Marzia,Elusive City,FALSE
NAMJONG SINGS(C480),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C480,AUS,6,Brown,Gelding,PP,"$989,100 ","$3,272,600 ",3-1-2-24,1,Conghua(25/11/2021),C S Shum,"Mr & Mrs Irons Sze, Sherman Sze Yung Lok and Eric Sze Chung Lok",73,68,Your Song,Breezing Home,War Pass,FALSE
HARRIER JET(T372),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2014_T372,AUS,10,Brown,Gelding,PP,$0 ,"$7,947,435 ",5-8-11-77,2,Hong Kong(15/04/2019),P O'Sullivan,Wei Yu & Liu He,59,64,Dane Shadow,Borobodur,Strategic,FALSE
JAZZ STEED(C406),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C406,AUS,6,Bay,Gelding,ISG,"$647,750 ","$3,660,265 ",3-5-3-30,2,Hong Kong(26/11/2021),C Fownes,Bravo Syndicate,62,57,Exceed And Excel,Emotional Circus,Elusive Quality,FALSE
